"2022-10-03","142.46","142.46"
"2022-10-04","145.69","143.10600000000002"
"2022-10-05","146.3","143.74480000000003"
"2022-10-06","144.71","143.93784000000002"
"2022-10-07","139.92","143.13427200000004"
"2022-10-10","140.64","142.63541760000004"
"2022-10-11","139.13","141.93433408000004"
"2022-10-12","138.51","141.24946726400003"
"2022-10-13","142.61","141.52157381120003"
"2022-10-14","138.14","140.84525904896003"
"2022-10-15","137.57","140.19020723916805"
"2022-10-16","137.13","139.57816579133444"
"2022-10-17","143.0","140.26253263306756"
"2022-10-18","144.43","141.09602610645405"
"2022-10-19","143.64","141.60482088516324"
"2022-10-20","142.77","141.8378567081306"
"2022-10-21","147.64","142.9982853665045"
"2022-10-22","146.72","143.7426282932036"
"2022-10-23","146.08","144.2101026345629"
"2022-10-24","149.53","145.27408210765032"
"2022-10-25","150.9","146.39926568612026"
"2022-10-26","149.39","146.9974125488962"
"2022-10-27","146.09","146.81593003911695"
"2022-10-28","155.82","148.61674403129356"
"2022-10-29","154.9","149.87339522503487"
"2022-10-30","154.52","150.80271618002791"
"2022-10-31","153.28","151.29817294402233"
"2022-11-01","150.43","151.12453835521788"
"2022-11-02","144.41","149.7816306841743"
"2022-11-03","137.81","147.38730454733945"
"2022-11-04","138.23","145.5558436378716"
"2022-11-05","138.61","144.16667491029727"
"2022-11-06","138.95","143.1233399282378"
"2022-11-07","138.88","142.27467194259026"
"2022-11-08","139.53","141.72573755407223"
"2022-11-09","134.84","140.3485900432578"
"2022-11-10","147.3","141.73887203460623"
"2022-11-11","149.48","143.287097627685"
"2022-11-12","148.69","144.367678102148"
"2022-11-13","148.21","145.13614248171842"
"2022-11-14","148.52","145.81291398537473"
"2022-11-15","149.96","146.6423311882998"
"2022-11-16","148.78","147.06986495063984"
"2022-11-17","151.07","147.8698919605119"
"2022-11-18","151.05","148.5059135684095"
"2022-11-19","150.53","148.9107308547276"
"2022-11-20","149.63","149.05458468378208"
"2022-11-21","148.06","148.85566774702568"
"2022-11-22","150.06","149.09653419762054"
"2022-11-23","151.14","149.50522735809645"
"2022-11-24","150.21","149.64618188647717"
"2022-11-25","148.11","149.33894550918174"
"2022-11-26","147.59","148.9891564073454"
"2022-11-27","147.66","148.72332512587633"
"2022-11-28","144.4","147.85866010070106"
"2022-11-29","141.19","146.52492808056087"
"2022-11-30","148.09","146.8379424644487"
"2022-12-01","148.23","147.11635397155896"
"2022-12-02","148.0","147.29308317724718"
"2022-12-03","146.94","147.22246654179776"
"2022-12-04","146.37","147.05197323343822"
"2022-12-05","146.78","146.9975785867506"
"2022-12-06","142.99","146.1960628694005"
"2022-12-07","141.03","145.1628502955204"
"2022-12-08","142.74","144.67828023641633"
"2022-12-09","141.99","144.14062418913306"
"2022-12-10","141.6","143.63249935130645"
"2022-12-11","142.15","143.33599948104518"
"2022-12-12","144.32","143.53279958483614"
"2022-12-13","145.44","143.9142396678689"
"2022-12-14","143.37","143.80539173429514"
"2022-12-15","136.33","142.3103133874361"
"2022-12-16","134.34","140.7162507099489"
"2022-12-17","134.76","139.52500056795913"
"2022-12-18","133.24","138.2680004543673"
"2022-12-19","132.07","137.02840036349386"
"2022-12-20","132.74","136.1707202907951"
"2022-12-21","135.6","136.05657623263608"
"2022-12-22","132.13","135.27126098610887"
"2022-12-23","131.77","134.5710087888871"
"2022-12-24","131.59","133.9748070311097"
"2022-12-25","131.17","133.41384562488776"
"2022-12-27","129.95","132.72107649991023"
"2022-12-28","126.1","131.3968611999282"
"2022-12-29","129.48","131.01348895994255"
"2022-12-30","129.95","130.80079116795406"
"2022-12-31","130.08","130.65663293436324"
"2023-01-01","129.25","130.3753063474906"
"2023-01-02","130.65","130.43024507799248"
"2023-01-03","124.91","129.326196062394"
"2023-01-04","127.5","128.9609568499152"
"2023-01-05","125.09","128.18676547993215"
"2023-01-06","129.33","128.41541238394572"
"2023-01-07","128.9","128.51232990715658"
"2023-01-08","128.45","128.49986392572526"
"2023-01-09","130.05","128.80989114058022"
"2023-01-10","130.76","129.19991291246419"
"2023-01-11","133.43","130.04593032997136"
"2023-01-12","133.24","130.68474426397708"
"2023-01-13","134.55","131.45779541118168"
"2023-01-14","134.16","131.99823632894535"
"2023-01-15","133.95","132.38858906315627"
"2023-01-17","135.91","133.09287125052504"
"2023-01-18","134.83","133.44029700042003"
"2023-01-19","135.66","133.88423760033604"
"2023-01-20","137.86","134.67939008026883"
"2023-01-21","137.12","135.16751206421506"
"2023-01-22","138.01","135.73600965137206"
"2023-01-23","141.11","136.81080772109766"
"2023-01-24","142.94","138.03664617687812"
"2023-01-25","141.46","138.7213169415025"
"2023-01-26","143.52","139.681053553202"
"2023-01-27","145.93","140.9308428425616"
"2023-01-28","146.6","142.06467427404928"
"2023-01-29","145.26","142.70373941923944"
"2023-01-30","143.03","142.76899153539156"
"2023-01-31","144.0","143.01519322831325"
"2023-02-01","146.08","143.6281545826506"
"2023-02-02","150.11","144.92452366612048"
"2023-02-03","154.03","146.7456189328964"
"2023-02-04","152.68","147.93249514631714"
"2023-02-05","152.34","148.8139961170537"
"2023-02-06","151.72","149.39519689364298"
"2023-02-07","154.09","150.33415751491438"
"2023-02-08","152.16","150.69932601193153"
"2023-02-09","151.03","150.76546080954523"
"2023-02-10","150.99","150.81036864763618"
"2023-02-11","149.83","150.61429491810895"
"2023-02-12","150.45","150.58143593448716"
"2023-02-13","153.78","151.22114874758972"
"2023-02-14","153.13","151.60291899807177"
"2023-02-15","155.27","152.33633519845742"
"2023-02-16","153.26","152.52106815876596"
